M + R -> Pn; 2.2e+04
M + Pn -> Pn; 2.2e+04
2 R -> 2 D; 2.5e+09
Pn + R -> D + PnD; 1e+08
2 Pn -> 2 PnD; 1e+07
2 Pn -> PnDPn; 1e+08
CuI + RX -> CuII + R; 6
CuII + R -> CuI + RX; 1e+08
CuI + PnX -> CuII + Pn; 6
CuII + Pn -> CuI + PnX; 1e+08
D:,dy_0/dt = 100000000.0*y_2*y_5 + 5000000000.0*y_5**2
M:,dy_1/dt = -22000*y_1*y_2 - 22000*y_1*y_5
Pn:,dy_2/dt = 22000*y_1*y_5 - 220000000.0*y_2**2 - 100000000.0*y_2*y_5 - 100000000.0*y_2*y_7 + 6*y_6*y_8
PnD:,dy_3/dt = 20000000.0*y_2**2 + 100000000.0*y_2*y_5
PnDPn:,dy_4/dt = 100000000.0*y_2**2
R:,dy_5/dt = -22000*y_1*y_5 - 100000000.0*y_2*y_5 - 5000000000.0*y_5**2 - 100000000.0*y_5*y_7 + 6*y_6*y_9
CuI:,dy_6/dt = 100000000.0*y_2*y_7 + 100000000.0*y_5*y_7 - 6*y_6*y_8 - 6*y_6*y_9
CuII:,dy_7/dt = -100000000.0*y_2*y_7 - 100000000.0*y_5*y_7 + 6*y_6*y_8 + 6*y_6*y_9
PnX:,dy_8/dt = 100000000.0*y_2*y_7 - 6*y_6*y_8
RX:,dy_9/dt = 100000000.0*y_5*y_7 - 6*y_6*y_9
M1_Pn:,dy_10/dt = 22000*y_1*y_2 + 22000*y_1*y_5 - 220000000.0*y_10*y_2 - 100000000.0*y_10*y_5 - 100000000.0*y_10*y_7 + 6*y_14*y_6
M1_PnD:,dy_11/dt = 20000000.0*y_10*y_2 + 100000000.0*y_10*y_5
M1_PnDPn:,dy_12/dt = 200000000.0*y_10*y_2
M2_total:,dy_13/dt = 44000*y_1*y_10 + 22000*y_1*y_2 + 22000*y_1*y_5 + 200000000.0*y_10**2
M1_PnX:,dy_14/dt = 100000000.0*y_10*y_7 - 6*y_14*y_6
time (s),D,M,Pn,PnD,PnDPn,R,CuI,CuII,PnX,RX,M1_Pn,M1_PnD,M1_PnDPn,M2_total,M1_PnX,conversion,ln([M]0/[M]),Mn,Mw/Mn,Tmol% (%)
409.49150623804235,7.122562501344514e-07,5.410846026054918,1.6762531146172908e-09,3.801535829809033e-08,7.49042722749089e-08,1.3743479371051028e-10,0.0027490981061591064,0.0025009018938408935,0.02442346773479066,0.0030756303713684484,6.743347904057067e-09,1.0262179453751584e-07,4.526826174425956e-07,0.4637762086839417,0.08915341189731793,0.016209813444560437,0.01634262971086062,314.2563409828924,1.4250707234874,0.0032730187381176707
494.1713361323833,7.191280206051209e-07,5.392595054238099,1.7258652072072893e-09,4.4521935781202634e-08,9.94626567013152e-08,8.773216931399571e-11,0.0027490356111328313,0.0025009643888671686,0.02553775122055698,0.0019612843905758527,7.943750911992724e-09,1.3065399872925274e-07,6.645689992810764e-07,0.6298269778524955,0.10740414259514809,0.019528171956709205,0.01972136599381225,362.06942982108137,1.3943051412492748,0.0035002737083234684
596.3623316594643,7.227393791936226e-07,5.370653055687137,1.7623800515395232e-09,5.1959090445319794e-08,1.3060873915203178e-07,5.111095995963983e-11,0.002748962270561042,0.002501037729438958,0.026357801409544815,0.0011411608610162238,9.386777301818434e-09,1.6753967150080574e-07,9.738568912327912e-07,0.8614523795247259,0.129345793529518,0.02351762623870244,0.02379857925197275,422.4707663871034,1.3571602991935405,0.003766967083429113
653.0612244897959,7.237396770389443e-07,5.358518004253199,1.7755348078805599e-09,5.5951941735609444e-08,1.48357730673563e-07,3.7897463207935967e-11,0.002748921779487605,0.0025010782205123947,0.026653372134657273,0.0008455496448303302,1.0184774699409526e-08,1.8962051347057403e-07,1.170205235025923e-06,1.0045545877166153,0.14148062573627282,0.02572399922669113,0.02606064713041021,456.9812320645344,1.3376013783502407,0.003914207564078836
719.6856730011514,7.244626792985497e-07,5.344294158626478,1.7866807904147687e-09,6.055989836973432e-08,1.6950118294264735e-07,2.6682398363844466e-11,0.002748874161693256,0.0025011258383067438,0.02690403786713048,0.0005948362945627752,1.112006485160301e-08,2.1717084953375685e-07,1.4230831814606627e-06,1.1858900036891393,0.15570418999942168,0.02831015297700403,0.02871861286582379,498.23749263212596,1.3159997449980865,0.004087363431103923
868.511373751352,7.252246311077045e-07,5.312659097669073,1.8009949552593898e-09,7.06421228109336e-08,2.1744146306729728e-07,1.2213408280376549e-11,0.0027487674371115835,0.0025012325628884164,0.027226988338844467,0.00027177909826710955,1.3199972616425463e-08,2.854580233467176e-07,2.0728230964832215e-06,1.6418247789171025,0.18733853084983046,0.034061982241986755,0.034655610639785006,592.3536737430279,1.2736961021202458,0.0044754533820117555
979.5918367346939,7.254591422762276e-07,5.289171189760232,1.8062622164282861e-09,7.805682687417201e-08,2.53587254274377e-07,6.830189349833426e-12,0.002748687496429896,0.002501312503570104,0.027346904864445836,0.00015178263198406086,1.4743997463574295e-08,3.4288490881312577e-07,2.6327943856492083e-06,2.0273093617926574,0.2108258198164703,0.038332510952685084,0.03908653354655982,663.6959851162043,1.2473076480459042,0.004766147191633285
1048.1131341546852,7.255416636129278e-07,5.274734956649088,1.8082441433116676e-09,8.260427382974391e-08,2.7596895742991637e-07,4.776620410002868e-12,0.0027486381031269357,0.0025013618968730642,0.027392579182974996,0.00010605892015194167,1.5692893285039358e-08,3.8117625535090976e-07,3.00973116960529e-06,2.2840987993595565,0.225261636750587,0.04095728060925665,0.04181965932363355,707.9586159948902,1.2330080689015177,0.004945759462918198
1264.8552168552958,7.256638068383643e-07,5.229333855382262,1.811245803905316e-09,9.691866891743904e-08,3.469792608898331e-07,1.5480523769517862e-12,0.002748481646208609,0.002501518353791391,0.027464199405768188,3.428224044042901e-05,1.8676620563200108e-08,5.170827321322453e-07,4.358298137708024e-06,3.1902418668240844,0.2706612505602415,0.04921202629413412,0.050464192181618454,848.4234291985214,1.195996002463815,0.005514694536492616
1306.1224489795918,7.256746274779306e-07,5.2207346107027925,1.8115005114456164e-09,9.963711899364673e-08,3.605194196163276e-07,1.2501162829918879e-12,0.0027484518366636687,0.002501548163336331,0.027470781326054235,2.7670510609441025e-05,1.924167177113063e-08,5.455359936581273e-07,4.641740867528071e-06,3.3787170504213297,0.27926018277866926,0.05077552532676499,0.05210997022572613,875.1681570147899,1.1901341276114272,0.005623093038924482
