M + R -> Pn; 12000
M + Pn -> Pn; 900
2 R -> 2 D; 2.5e+09
Pn + R -> D + PnD; 1e+08
2 Pn -> 2 PnD; 1e+07
2 Pn -> PnDPn; 1e+08
CuI + RX -> CuII + R; 0.79
CuII + R -> CuI + RX; 8.4e+06
CuI + PnX -> CuII + Pn; 0.79
CuII + Pn -> CuI + PnX; 8.4e+06
TI -> 2 R; 2.6e-05
The initiation efficiency of the thermal initiator is 0.8.
D:,dy_0/dt = 100000000.0*y_2*y_5 + 5000000000.0*y_5**2
M:,dy_1/dt = -900*y_1*y_2 - 12000*y_1*y_5
Pn:,dy_2/dt = 12000*y_1*y_5 - 220000000.0*y_2**2 - 100000000.0*y_2*y_5 - 8400000.0*y_2*y_7 + 0.79*y_6*y_8
PnD:,dy_3/dt = 20000000.0*y_2**2 + 100000000.0*y_2*y_5
PnDPn:,dy_4/dt = 100000000.0*y_2**2
R:,dy_5/dt = -12000*y_1*y_5 + 4.16e-5*y_10 - 100000000.0*y_2*y_5 - 5000000000.0*y_5**2 - 8400000.0*y_5*y_7 + 0.79*y_6*y_9
CuI:,dy_6/dt = 8400000.0*y_2*y_7 + 8400000.0*y_5*y_7 - 0.79*y_6*y_8 - 0.79*y_6*y_9
CuII:,dy_7/dt = -8400000.0*y_2*y_7 - 8400000.0*y_5*y_7 + 0.79*y_6*y_8 + 0.79*y_6*y_9
PnX:,dy_8/dt = 8400000.0*y_2*y_7 - 0.79*y_6*y_8
RX:,dy_9/dt = 8400000.0*y_5*y_7 - 0.79*y_6*y_9
TI:,dy_10/dt = -2.6e-5*y_10
M1_Pn:,dy_11/dt = 900*y_1*y_2 + 12000*y_1*y_5 - 220000000.0*y_11*y_2 - 100000000.0*y_11*y_5 - 8400000.0*y_11*y_7 + 0.79*y_15*y_6
M1_PnD:,dy_12/dt = 20000000.0*y_11*y_2 + 100000000.0*y_11*y_5
M1_PnDPn:,dy_13/dt = 200000000.0*y_11*y_2
M2_total:,dy_14/dt = 1800*y_1*y_11 + 900*y_1*y_2 + 12000*y_1*y_5 + 200000000.0*y_11**2
M1_PnX:,dy_15/dt = 8400000.0*y_11*y_7 - 0.79*y_15*y_6
time (s),D,M,Pn,PnD,PnDPn,R,CuI,CuII,PnX,RX,TI,M1_Pn,M1_PnD,M1_PnDPn,M2_total,M1_PnX,conversion,ln([M]0/[M]),Mn,Mw/Mn,Tmol% (%)
596.3623316594643,2.9729569866651416e-09,4.998182815494425,7.073931221239069e-10,2.5913367565073625e-09,9.626145836185118e-09,4.7003867923115154e-11,6.76720831518001e-05,0.00048232791684819963,0.0008782001423509881,0.0541894719408008,0.002707688966166122,1.505155821311998e-09,5.400670509554168e-09,4.012913664237984e-08,0.0057049885611034565,0.0018171374706055466,0.000363436901115044,0.0003635029603115832,215.5055228833249,1.5172481708757604,4.512106439189589e-05
719.6856730011514,5.11693460343644e-09,4.997363663830211,8.73918000869404e-10,4.639070966033553e-09,1.7348121042807996e-08,5.599854277043447e-11,8.152114948155384e-05,0.0004684788505184459,0.0012592051299685424,0.05382231601951299,0.0026990209177214053,1.8952167058968608e-09,9.801908543237458e-09,7.332364548399038e-08,0.008406962447568729,0.002636251149012107,0.0005272672339577511,0.0005274062882071608,218.04980037675372,1.5231472835951156,8.08222684637927e-05
868.511373751352,8.818688204199607e-09,4.996160628820823,1.0885749874469554e-09,8.405888493719729e-09,3.169687768333036e-08,6.658121741767754e-11,9.816251139390597e-05,0.00045183748860609375,0.0018063493079080487,0.05329181320348585,0.002688597321948641,2.4196849749936324e-09,1.8078356469794392e-08,1.3637927636064847e-07,0.01249100174911354,0.0038392143018539365,0.000767874235835464,0.0007681692022642846,221.36437745742978,1.5306951588134106,0.00014657878557196373
1048.1131341546852,1.5195278369709795e-08,4.994386379751414,1.3696738327207143e-09,1.5446491741247346e-08,5.8855012904538024e-08,7.887926945553921e-11,0.00011813533166852428,0.0004318646683314755,0.0025897991923877228,0.05252833613928079,0.002676071792489034,3.144435286784524e-09,3.3998963170321554e-08,2.5920687564621387e-07,0.018743554660723125,0.005613323898305297,0.0011227240497172276,0.00112335477649548,225.74779851918566,1.5404396107179226,0.000269730538036424
1264.8552168552958,2.6128012151741477e-08,4.991756400754352,1.7452430537297144e-09,2.8869766050715027e-08,1.1144610975537105e-07,9.290422096767802e-11,0.0001420662679236583,0.0004079337320763415,0.0037061580933402632,0.051435908174583385,0.0026610337524570968,4.18169886312547e-09,6.552509744759953e-08,5.062546044772595e-07,0.028477705327391783,0.008243023284241074,0.0016487198491295985,0.001650080483442352,231.65173506017177,1.5531444099635414,0.0005052545412967248
1469.3877551020407,4.0131406064623016e-08,4.98876040325778,2.1415408344611987e-09,4.8256005076054146e-08,1.8867146397025395e-07,1.0519083570527917e-10,0.00016445947172836754,0.00038554052827163236,0.004920128749920719,0.050244330721807624,0.002646920344500551,5.363555188001165e-09,1.1307270361010643e-07,8.850906459598649e-07,0.0402090754663595,0.01123859321530869,0.0022479193484439717,0.0022504497118889977,237.90985629131671,1.5661025521021532,0.0008467824346930637
1526.4179671752318,4.4726144154761005e-08,4.987832325460153,2.2601481293201846e-09,5.5121298721814905e-08,2.1629420690040036e-07,1.0843622208865996e-10,0.00017066769516040303,0.0003793323048395969,0.005284730286200018,0.049885937408960364,0.002642998437749105,5.734922762584878e-09,1.3038119962942027e-07,1.0243740624562094e-06,0.043978259026586294,0.012166514049656053,0.0024335349079693813,0.002436500766701194,239.78474046035527,1.569886231894871,0.0009680651939588666
1842.0699693267145,7.59911976168454e-08,4.981923622137597,2.990145357697099e-09,1.0822050309551413e-07,4.3341569687076176e-07,1.2483873786045622e-10,0.0002047118553134408,0.0003452881446865591,0.007490874029513825,0.0477138378257996,0.0026213962416300057,8.201453388916904e-09,2.708685138974597e-07,2.173460376579059e-06,0.06944742937414665,0.018073925332053396,0.0036152755724806695,0.003621826474857244,251.30817550783345,1.592199271080516,0.0019109874444616054
2222.996482526193,1.2767612664340204e-07,4.972903640191261,4.071424574118489e-09,2.2069399471242714e-07,9.064716866813462e-07,1.4078431494130478e-10,0.00024493552498445814,0.00030506447501554173,0.010520023113212252,0.044724912411772184,0.002595561843319958,1.243080161231009e-08,5.978002930463604e-07,4.924293107566564e-06,0.11321088307414857,0.027090825284530752,0.005419271961747718,0.0054340094845901485,268.22968089948876,1.622294398900623,0.003929660899488221
2682.6957952797247,2.1124837731999195e-07,4.958830774213178,5.765419669352839e-09,4.748627688971324e-07,2.01106502623501e-06,1.5389400757232732e-10,0.0002917276425836209,0.00025827235741637903,0.014569689897894159,0.04072203774468946,0.0025647238730650075,2.0441239111666303e-08,1.4401131920780803e-06,1.2248552752182386e-05,0.19346831985864757,0.041155516679632305,0.008233845157364427,0.00826793049159253,294.24385352936173,1.6633706529060224,0.008560438543067534
