M + R -> Pn; 33100
M + Pn -> Pn; 33100
2 R -> 2 D; 2.5e+09
Pn + R -> D + PnD; 1e+08
2 Pn -> 2 PnD; 1e+07
2 Pn -> PnDPn; 1e+08
CuI + RX -> CuII + R; 1000
CuII + R -> CuI + RX; 1e+08
CuI + PnX -> CuII + Pn; 1000
CuII + Pn -> CuI + PnX; 1e+08
TI -> 2 R; 9.1e-06
The initiation efficiency of the thermal initiator is 0.8.
D:,dy_0/dt = 100000000.0*y_2*y_5 + 5000000000.0*y_5**2
M:,dy_1/dt = -33100*y_1*y_2 - 33100*y_1*y_5
Pn:,dy_2/dt = 33100*y_1*y_5 - 220000000.0*y_2**2 - 100000000.0*y_2*y_5 - 100000000.0*y_2*y_7 + 1000*y_6*y_8
PnD:,dy_3/dt = 20000000.0*y_2**2 + 100000000.0*y_2*y_5
PnDPn:,dy_4/dt = 100000000.0*y_2**2
R:,dy_5/dt = -33100*y_1*y_5 + 1.456e-5*y_10 - 100000000.0*y_2*y_5 - 5000000000.0*y_5**2 - 100000000.0*y_5*y_7 + 1000*y_6*y_9
CuI:,dy_6/dt = 100000000.0*y_2*y_7 + 100000000.0*y_5*y_7 - 1000*y_6*y_8 - 1000*y_6*y_9
CuII:,dy_7/dt = -100000000.0*y_2*y_7 - 100000000.0*y_5*y_7 + 1000*y_6*y_8 + 1000*y_6*y_9
PnX:,dy_8/dt = 100000000.0*y_2*y_7 - 1000*y_6*y_8
RX:,dy_9/dt = 100000000.0*y_5*y_7 - 1000*y_6*y_9
TI:,dy_10/dt = -9.1e-6*y_10
M1_Pn:,dy_11/dt = 33100*y_1*y_2 + 33100*y_1*y_5 - 220000000.0*y_11*y_2 - 100000000.0*y_11*y_5 - 100000000.0*y_11*y_7 + 1000*y_15*y_6
M1_PnD:,dy_12/dt = 20000000.0*y_11*y_2 + 100000000.0*y_11*y_5
M1_PnDPn:,dy_13/dt = 200000000.0*y_11*y_2
M2_total:,dy_14/dt = 66200*y_1*y_11 + 33100*y_1*y_2 + 33100*y_1*y_5 + 200000000.0*y_11**2
M1_PnX:,dy_15/dt = 100000000.0*y_11*y_7 - 1000*y_15*y_6
time (s),D,M,Pn,PnD,PnDPn,R,CuI,CuII,PnX,RX,TI,M1_Pn,M1_PnD,M1_PnDPn,M2_total,M1_PnX,conversion,ln([M]0/[M]),Mn,Mw/Mn,Tmol% (%)
35.564803062231285,4.3009202534469747e-10,5.498841297571221,2.7548248187921476e-10,4.488781572740282e-11,8.985388042369589e-11,8.208894137071755e-11,7.13468592520206e-07,0.0005492865314074803,0.00026737706957221427,0.027233336399020296,0.001379553449467787,1.199897300758249e-09,1.9472658171452964e-10,7.795900118838637e-10,0.008883885670885872,0.0011587002545679055,0.00021067316886897396,0.00021069536357836663,373.0781372072787,1.7692286020490646,2.3806821887981525e-06
42.91934260128776,7.513837418779544e-10,5.498313277665839,3.3278669311237333e-10,7.87988839950895e-11,1.580765415906754e-10,9.85771535786901e-11,8.606236832230097e-07,0.0005491393763167774,0.0003883187049522182,0.027112541918730994,0.001379461124135766,1.4560452691639538e-09,3.4277696270478577e-10,1.375290306169977e-09,0.012966093680185302,0.001686719160050486,0.0003066767880292335,0.000306723822971939,373.94467707563206,1.769745887183219,4.1684934874705266e-06
51.7947467923121,1.3095614249147355e-09,5.49754469482829,4.0220608891192823e-10,1.382895903358551e-10,2.782816083430764e-10,1.181240817840022e-10,1.0379315244152152e-06,0.0005489620684755852,0.0005633778954322538,0.026937660036092152,0.0013793497148319918,1.7711977891038178e-09,6.039391764573268e-10,2.430686689784175e-09,0.018945263035942354,0.002455300365887512,0.00044641912212917134,0.00044651879681109266,375.1956133613045,1.7704762955529125,7.288779025224521e-06
62.505519252739695,2.2743457732015154e-09,5.496426169650902,4.864277598501511e-10,2.4257655666467975e-10,4.903220729877358e-10,1.4110482511552722e-10,1.2514286846919792e-06,0.0005487485713153084,0.0008160904236352261,0.026685161005049456,0.0013792152788851574,2.162013090597114e-09,1.0653901898619878e-09,4.307180371971564e-09,0.027724898461439437,0.0035738228145158297,0.0006497873361996718,0.000649998539487331,377.0055206512325,1.7714994822197552,1.2718423548515153e-05
75.43120063354615,3.929568036391178e-09,5.494798874086984,5.888179701541805e-10,4.251814108264394e-10,8.649512097118591e-10,1.67790173773518e-10,1.5082627067824489e-06,0.0005484917372932179,0.001179475221425376,0.026322033041281397,0.0013790530600207571,2.6518991300351477e-09,1.8825770665623725e-09,7.660275891404224e-09,0.04066238883167376,0.005201113718264366,0.0009456592569119238,0.0009461066747190833,379.63003241757144,1.7729139903072497,2.2126006787786673e-05
91.02981779915217,6.7389850441186096e-09,5.492432493827199,7.136414991253942e-10,7.443754579675082e-10,1.5282655472993336e-09,1.9820679028513355e-10,1.8168348285422386e-06,0.0005481831651714582,0.0016990322132806241,0.025802784621547906,0.001378857320894735,3.274851196099151e-09,3.334176892977219e-09,1.3693544778939003e-08,0.05982177763911257,0.007567485870228045,0.0013759102132366056,0.0013768576468495553,383.4450319710756,1.7748273920637592,3.832687853339922e-05
109.85411419875584,1.1433799720708611e-08,5.488993693697188,8.663678678489042e-10,1.300931644818207e-09,2.7061616682917565e-09,2.3190649584213907e-10,2.1869285073893594e-06,0.0005478130714926111,0.002435775040592812,0.02506641188791456,0.0013786211413522184,4.081862251603348e-09,5.923348368321286e-09,2.4653540709132704e-08,0.08839181926672293,0.011006271644059915,0.0020011466005112055,0.002003151569640844,389.0059623786066,1.7773253183220528,6.598928982585575e-05
132.57113655901082,1.9105371300418953e-08,5.484001288346049,1.0540897608799103e-09,2.267839536970833e-09,4.806007559791785e-09,2.6761455239372806e-10,2.6298122927349264e-06,0.0005473701877072657,0.0034681181595435356,0.024034511652749183,0.0013783361754856247,5.15169490677368e-09,1.0566598470418477e-08,4.4823028401872e-08,0.13139882652730317,0.015998651112628,0.0029088566643546573,0.002913095610221313,397.1392539137447,1.7803950075946615,0.00011267354893444857
159.98587196060572,3.124534002444261e-08,5.47676302421341,1.286059362697553e-09,3.9389638162317194e-09,8.56829686599178e-09,3.027516061999305e-10,3.1583155587085674e-06,0.000546841684441292,0.004890081834849078,0.022613076480709617,0.0013779923592079717,6.609010630151583e-09,1.895068475750241e-08,8.258089895687151e-08,0.19696025519761676,0.023236867645996064,0.00422490468847091,0.004233854816137226,409.08632419045773,1.7837613085909645,0.00019025780935511956
193.06977288832496,4.959803424742909e-08,5.466287264719958,1.5742749729713769e-09,6.806263446943786e-09,1.5350907118387472e-08,3.3290641372784476e-10,3.7868931846092547e-06,0.0005462131068153913,0.006801203545531044,0.020702583347653552,0.0013775775584512985,8.654801851788528e-09,3.421532701492688e-08,1.5482154137953562e-07,0.2985530268272771,0.033712537588371116,0.006129588232734856,0.0061484512799971,426.7361260053335,1.7865730796697792,0.00031674949793144663
