M + R -> Pn; 16000
M + Pn -> Pn; 16000
2 R -> 2 D; 2.5e+09
Pn + R -> D + PnD; 1e+08
2 Pn -> 2 PnD; 1e+07
2 Pn -> PnDPn; 1e+08
CuI + RX -> CuII + R; 300
CuII + R -> CuI + RX; 1e+08
CuI + PnX -> CuII + Pn; 300
CuII + Pn -> CuI + PnX; 1e+08
Cu0 + CuII -> Cu0 + 2 CuI; 0.0035
Cu0 + RX -> Cu0 + CuI + R; 0.0001
D:,dy_0/dt = 100000000.0*y_2*y_5 + 5000000000.0*y_5**2
M:,dy_1/dt = -16000*y_1*y_2 - 16000*y_1*y_5
Pn:,dy_2/dt = 16000*y_1*y_5 - 220000000.0*y_2**2 - 100000000.0*y_2*y_5 - 100000000.0*y_2*y_7 + 300*y_6*y_8
PnD:,dy_3/dt = 20000000.0*y_2**2 + 100000000.0*y_2*y_5
PnDPn:,dy_4/dt = 100000000.0*y_2**2
R:,dy_5/dt = -16000*y_1*y_5 + 0.0001*y_10*y_9 - 100000000.0*y_2*y_5 - 5000000000.0*y_5**2 - 100000000.0*y_5*y_7 + 300*y_6*y_9
CuI:,dy_6/dt = 0.007*y_10*y_7 + 0.0001*y_10*y_9 + 100000000.0*y_2*y_7 + 100000000.0*y_5*y_7 - 300*y_6*y_8 - 300*y_6*y_9
CuII:,dy_7/dt = -0.0035*y_10*y_7 - 100000000.0*y_2*y_7 - 100000000.0*y_5*y_7 + 300*y_6*y_8 + 300*y_6*y_9
PnX:,dy_8/dt = 100000000.0*y_2*y_7 - 300*y_6*y_8
RX:,dy_9/dt = -0.0001*y_10*y_9 + 100000000.0*y_5*y_7 - 300*y_6*y_9
Cu0:,dy_10/dt = 0
M1_Pn:,dy_11/dt = 16000*y_1*y_2 + 16000*y_1*y_5 - 220000000.0*y_11*y_2 - 100000000.0*y_11*y_5 - 100000000.0*y_11*y_7 + 300*y_15*y_6
M1_PnD:,dy_12/dt = 20000000.0*y_11*y_2 + 100000000.0*y_11*y_5
M1_PnDPn:,dy_13/dt = 200000000.0*y_11*y_2
M2_total:,dy_14/dt = 32000*y_1*y_11 + 16000*y_1*y_2 + 16000*y_1*y_5 + 200000000.0*y_11**2
M1_PnX:,dy_15/dt = 100000000.0*y_11*y_7 - 300*y_15*y_6
time (s),D,M,Pn,PnD,PnDPn,R,CuI,CuII,PnX,RX,Cu0,M1_Pn,M1_PnD,M1_PnDPn,M2_total,M1_PnX,conversion,ln([M]0/[M]),Mn,Mw/Mn,Tmol% (%)
29.4705170255181,4.966912103215979e-05,5.29840684224973,7.79398550888035e-08,4.435252063769782e-06,1.442004276537204e-05,2.1846460114978638e-10,0.002684090275748537,0.002824466170598919,0.02731734531844431,9.963206460930231e-05,0.0282,5.976945650982837e-07,1.7930523393651054e-05,0.00013921060165701852,1.8072852951186522,0.20143541893064576,0.036653301409139936,0.0373419126702606,634.8762841654055,1.2156667289370529,0.3016162131879042
33.93221771895328,4.967480179610784e-05,5.268973456649194,7.78145677000726e-08,4.9817194993118155e-06,1.7126574744779677e-05,9.546149622716584e-11,0.002680616717034636,0.0028291854318897754,0.027367420182618857,4.3592236566941694e-05,0.0282,6.79270834381798e-07,2.2410571462265205e-05,0.0001835916616268473,2.318785319003293,0.23081986184687575,0.042004826063782925,0.042912538668832906,726.1541077095936,1.1899331710350658,0.32330789376356
39.06939937054617,4.9677369687353076e-05,5.235400659032343,7.759064445697328e-08,5.604585374927755e-06,2.02285894608037e-05,3.705803042366386e-11,0.002676660110545356,0.0028345783255705175,0.02738723569135755,1.694754695604322e-05,0.0282,7.717018131344823e-07,2.8226410099219307e-05,0.00024152239434109315,2.979357033674048,0.26432882046139866,0.04810897108502859,0.049304716167888736,830.9647088404072,1.1665515105619606,0.3481423053959572
44.98432668969446,4.9678423712459075e-05,5.1971581608655555,7.729505418287112e-08,6.315138430892558e-06,2.377616768984488e-05,1.2580648941872595e-11,0.0026721672817540433,0.0028407279617019255,0.027390613635706103,5.763159135984302e-06,0.0282,8.761952912908879e-07,3.578724536397553e-05,0.00031702162703453824,3.832008298092046,0.3024881540667507,0.055062152569899,0.056636123566567054,950.7990583878343,1.1457095437101328,0.3765305364474233
51.7947467923121,4.967880537853831e-05,5.153663329190064,7.694212884850103e-08,7.125595067713392e-06,2.7826552528661154e-05,3.670244101564478e-12,0.0026670798866044215,0.002847727282349134,0.02738578099166415,1.6845570331517574e-06,0.0282,9.940232494528955e-07,4.561622475115776e-05,0.0004152659753983127,4.931544943980455,0.3458747945865315,0.06297030378362466,0.06504030437892708,1087.3538710755922,1.1273696017754065,0.40893638364936
59.63623316594643,4.967892419154789e-05,5.10428080666622,7.6536997095969e-08,8.04926905536865e-06,3.2444329283474656e-05,9.025543211057285e-13,0.0026613351811011965,0.0028556791043061764,0.027376891459796042,4.151504903968817e-07,0.0282,1.1265033752020254e-06,5.838074163004119e-05,0.000542894990120057,6.347459415816322,0.39511679109864867,0.07194894424250542,0.07466853072925625,1242.5462961222438,1.1113553547633679,0.4458794611413303
68.66488450043002,4.967895524899816e-05,5.0483238244423205,7.607927509696257e-08,9.100743100701257e-06,3.770154427789244e-05,1.83165653358483e-13,0.0026548673223957563,0.0028646957719840205,0.027365656675724395,8.445791180689324e-08,0.0282,1.2749731722419206e-06,7.493010982166389e-05,0.0007083838659547936,8.167356672003953,0.4508915866087246,0.08212294101048717,0.08569181999946406,1418.5044138985002,1.0974288033338473,0.4879374069290338
73.46938775510205,4.9678959770550356e-05,5.018931704223296,7.584017171951717e-08,9.655172342664579e-06,4.047366788189787e-05,7.907397375688182e-14,0.002651488035670719,0.002869434636228562,0.027359606183928104,3.6507944040823885e-08,0.0282,1.3522650043373436e-06,8.45187906585154e-05,0.0008042698957453525,9.21504699215406,0.48017815482528836,0.08746696286849165,0.09153098910525292,1510.9615235368492,1.0914155085986348,0.5101144286436752
79.06043210907697,4.967896191218838e-05,4.985057740191965,7.55658926694032e-08,1.0296008996686108e-05,4.3677840444200584e-05,2.9975741127376524e-14,0.002647609062100748,0.0028748985778096012,0.027352579922282686,1.3859997347661322e-08,0.0282,1.4407554860357083e-06,9.634135021801802e-05,0.000922495098350493,10.500936671160765,0.5139219826039737,0.09362586541964274,0.09830310610495038,1617.542186628105,1.0853419674426812,0.5357478247173659
91.02981779915217,4.96789630581667e-05,4.9137064071536045,7.499279422506602e-08,1.165256507217027e-05,5.046061509179355e-05,3.861221590786516e-15,0.002639493870039617,0.0028864169405362085,0.027337670458012303,1.7908756396185927e-09,0.0282,1.6251145585690609e-06,0.00012397385236248142,0.0011988198911113605,13.484509136265114,0.5849691739883577,0.106598835062981,0.11271956612830117,1842.1268550303619,1.0748631342794874,0.5900100302324511
