M + R -> Pn; 16000
M + Pn -> Pn; 16000
2 R -> 2 D; 2.5e+09
Pn + R -> D + PnD; 1e+08
2 Pn -> 2 PnD; 1e+07
2 Pn -> PnDPn; 1e+08
CuI + RX -> CuII + R; 300
CuII + R -> CuI + RX; 1e+08
CuI + PnX -> CuII + Pn; 300
CuII + Pn -> CuI + PnX; 1e+08
Cu0 + CuII -> 2 CuI; 0.0035
Cu0 + RX -> CuI + R; 0.0001
D:,dy_0/dt = 100000000.0*y_2*y_5 + 5000000000.0*y_5**2
M:,dy_1/dt = -16000*y_1*y_2 - 16000*y_1*y_5
Pn:,dy_2/dt = 16000*y_1*y_5 - 220000000.0*y_2**2 - 100000000.0*y_2*y_5 - 100000000.0*y_2*y_7 + 300*y_6*y_8
PnD:,dy_3/dt = 20000000.0*y_2**2 + 100000000.0*y_2*y_5
PnDPn:,dy_4/dt = 100000000.0*y_2**2
R:,dy_5/dt = -16000*y_1*y_5 + 0.0001*y_10*y_9 - 100000000.0*y_2*y_5 - 5000000000.0*y_5**2 - 100000000.0*y_5*y_7 + 300*y_6*y_9
CuI:,dy_6/dt = 0.007*y_10*y_7 + 0.0001*y_10*y_9 + 100000000.0*y_2*y_7 + 100000000.0*y_5*y_7 - 300*y_6*y_8 - 300*y_6*y_9
CuII:,dy_7/dt = -0.0035*y_10*y_7 - 100000000.0*y_2*y_7 - 100000000.0*y_5*y_7 + 300*y_6*y_8 + 300*y_6*y_9
PnX:,dy_8/dt = 100000000.0*y_2*y_7 - 300*y_6*y_8
RX:,dy_9/dt = -0.0001*y_10*y_9 + 100000000.0*y_5*y_7 - 300*y_6*y_9
Cu0:,dy_10/dt = -0.0035*y_10*y_7 - 0.0001*y_10*y_9
M1_Pn:,dy_11/dt = 16000*y_1*y_2 + 16000*y_1*y_5 - 220000000.0*y_11*y_2 - 100000000.0*y_11*y_5 - 100000000.0*y_11*y_7 + 300*y_15*y_6
M1_PnD:,dy_12/dt = 20000000.0*y_11*y_2 + 100000000.0*y_11*y_5
M1_PnDPn:,dy_13/dt = 200000000.0*y_11*y_2
M2_total:,dy_14/dt = 32000*y_1*y_11 + 16000*y_1*y_2 + 16000*y_1*y_5 + 200000000.0*y_11**2
M1_PnX:,dy_15/dt = 100000000.0*y_11*y_7 - 300*y_15*y_6
time (s),D,M,Pn,PnD,PnDPn,R,CuI,CuII,PnX,RX,Cu0,M1_Pn,M1_PnD,M1_PnDPn,M2_total,M1_PnX,conversion,ln([M]0/[M]),Mn,Mw/Mn,Tmol% (%)
44.98432668969446,3.387828131806784e-08,5.496477936874328,1.1270832985964306e-09,1.481580548347095e-09,1.8715587702227248e-09,6.449717466095995e-10,1.1680075976927449e-05,0.0005441803995287625,0.0013164510860105003,0.02618350803895504,0.02819413952449432,3.090542569657625e-09,3.982630554293019e-09,1.006410665550502e-08,0.015320246707647573,0.0035220459883988134,0.0006403751137585542,0.0006405802414789377,230.32635682244782,1.625839584019481,0.00014219265238858323
51.7947467923121,5.05403320639095e-08,5.495338065837686,1.3060850173995887e-09,2.253425160098635e-09,2.88098278815331e-09,7.28167221818849e-10,1.3388975357142824e-05,0.0005433358073089488,0.0017278820887294997,0.02577205732129545,0.028193275217333922,3.636545221305199e-09,6.115795953652884e-09,1.564380260344014e-08,0.020485887070052423,0.00466190876617716,0.0008476243931480357,0.000847983829829884,232.27534950662084,1.6286892277750975,0.00021292990109205364
59.63623316594643,7.486436223779998e-08,5.493832602614918,1.5157434292615913e-09,3.4225506083186664e-09,4.4441234807602956e-09,8.169955302029308e-10,1.532807851062838e-05,0.0005423807146940697,0.0022609203874093754,0.02523899010469185,0.028192291206795315,4.3034180306241e-09,9.403869580066983e-09,2.4436603192327782e-08,0.027460000922171247,0.006167359241197859,0.0011213449791057752,0.0011219741567809886,234.83756460172617,1.6322390175220434,0.0003170005811186881
68.66488450043002,1.0987904394295343e-07,5.491846912483236,1.762023195294108e-09,5.18809390888343e-09,6.872423488280458e-09,9.092348079055507e-10,1.751920985404156e-05,0.0005413061366943955,0.002946520386837696,0.024553348129919463,0.028191174653451574,5.1277838037867686e-09,1.4480788077746828e-08,3.840296189054825e-08,0.036920840074365344,0.008153029505236166,0.0014823795485024891,0.00148347936009194,238.21182937030454,1.6365860819664824,0.0004684072175578101
79.06043210907697,1.593716662782073e-07,5.489232302457147,2.0521051608560606e-09,7.8433119607776e-09,1.065816657010795e-08,1.0012371744790004e-09,1.9982209941120694e-05,0.0005401046873562974,0.003820051281915209,0.02367975713343107,0.02818991310270259,6.160153868281832e-09,2.2332712432586175e-08,6.079548371027477e-08,0.04982981573138914,0.010767608254510203,0.0019577631896096777,0.0019596821129037037,242.66325906490957,1.6417805825014875,0.0006855684050152757
91.02981779915217,2.276959099987492e-07,5.485797145648522,2.3944669130704183e-09,1.1814216768380952e-08,1.6582464262800735e-08,1.0875603549663976e-09,2.2733053043751212e-05,0.0005387715520194054,0.00491947012550635,0.02258025371741108,0.028188495394936848,7.470395698503657e-09,3.449287954993279e-08,9.708555408799756e-08,0.06756577277723384,0.014202715302654734,0.0025823371548141113,0.0025856771386199564,248.54629602351423,1.6477697558445012,0.0009915456556099332
104.81131341546852,3.191990675166459e-07,5.481296417957418,2.798768094761775e-09,1.7708377933369063e-08,2.588726967551952e-08,1.1607301650058932e-09,2.5781623731329883e-05,0.0005373055088758663,0.006281512370764183,0.02121809498775275,0.02818691286739281,9.155039042948257e-09,5.333818503668483e-08,1.5660036012840415e-07,0.0921296478803445,0.01870336294900361,0.003400651280469382,0.003406446637423929,256.3362754753658,1.6543113915504895,0.0014133890356401962
120.67926406393289,4.3710124612050905e-07,5.475419719611413,3.2753604782208654e-09,2.6371317231981215e-08,4.0545261398270886e-08,1.211347724556456e-09,2.912939933112027e-05,0.0005357098252316163,0.007935176087196983,0.01956427486300866,0.02818516077543727,1.1346748203558566e-08,8.253112037534211e-08,2.554270283420002e-07,0.12645744385664962,0.024579931083696722,0.004469141888834052,0.0044791583579341125,266.67305137300167,1.6608528033668812,0.001980229404178298
138.94954943731375,5.818004731835073e-07,5.467778004884084,3.834183572129196e-09,3.8942832289795335e-08,6.367123070745535e-08,1.2288409342182295e-09,3.276744579807257e-05,0.0005339928514966614,0.009892121538496315,0.017607125312712288,0.028183239702705275,1.4226150605491372e-08,1.276609699554363e-07,4.215499965995098e-07,0.1748984496301559,0.032221431678805444,0.005858544566530132,0.005875773161364225,280.42131289804104,1.6663845170420535,0.002720311879593503
146.9387755102041,6.458331111000693e-07,5.4641556730278005,4.080394371705921e-09,4.532538004145408e-08,7.618621966721178e-08,1.2242924656730502e-09,3.428638809195154e-05,0.0005332812237626814,0.010749494608485599,0.01674965655589708,0.028182432388145374,1.5609751341906585e-08,1.5171281410408554e-07,5.158819581241982e-07,0.19935851543120886,0.035843643767682225,0.006517150358581732,0.006538479704521102,287.0648498724595,1.6679654503766994,0.003067385201730716
