time (s),D,M,Pn,PnD,PnDPn,R,CuI,CuII,PnX,RX,M1_Pn,M1_PnD,M1_PnDPn,M2_total,M1_PnX,conversion,ln([M]0/[M]),Mn,Mw/Mn,Tmol% (%)
281.1768698,3.59E-05,4.362764836,1.63E-07,0.000950412,0.000472068,7.59E-13,0.016869354,0.006630646,0.021568216,1.14E-06,2.45E-06,0.007412787,0.007396785,5.421413127,0.322423146,0.071752163,0.074456516,1468.583019,1.095978383,8.214819855
339.3221772,3.59E-05,4.310970236,1.53E-07,0.001081093,0.000537408,1.47E-13,0.016608002,0.006891998,0.02130777,2.31E-07,2.66E-06,0.009524713,0.009508706,7.182600781,0.369993686,0.08277229,0.086399517,1698.898153,1.088058875,9.327001306
367.3469388,3.59E-05,4.287361753,1.49E-07,0.0011384,0.000566062,6.91E-14,0.016493392,0.007006608,0.021193281,1.11E-07,2.75E-06,0.010552467,0.01053646,8.071538024,0.391546573,0.087795372,0.091890941,1804.242188,1.085457502,9.814722717
409.4915062,3.59E-05,4.253295027,1.43E-07,0.001218829,0.000606276,2.30E-14,0.016332539,0.007167461,0.021032501,3.80E-08,2.87E-06,0.01210419,0.012088182,9.450352727,0.422509731,0.095043611,0.099868526,1956.627529,1.082529929,10.49922623
494.1713361,3.59E-05,4.189326612,1.33E-07,0.001363311,0.000678517,2.83E-15,0.016043586,0.007456414,0.020743581,4.93E-09,3.08E-06,0.015227555,0.015211547,12.34948965,0.480231207,0.108653912,0.115022501,2243.90624,1.079001178,11.72885508
596.3623317,3.59E-05,4.11865889,1.24E-07,0.001514204,0.000753964,2.68E-16,0.015741809,0.007758191,0.020441809,4.92E-10,3.29E-06,0.018978964,0.018962956,16.02964457,0.543395904,0.123689598,0.132034911,2562.906924,1.077161602,13.01305131
719.685673,3.59E-05,4.040901398,1.15E-07,0.00167115,0.000832437,1.96E-17,0.015427925,0.008072075,0.020127925,3.80E-11,3.49E-06,0.023450518,0.02343451,20.668528,0.612210087,0.140233745,0.151094723,2915.784723,1.076773955,14.34876752
734.6938776,3.59E-05,4.031915348,1.14E-07,0.001688737,0.00084123,1.45E-17,0.015392753,0.008107247,0.020092753,2.83E-11,3.51E-06,0.023989599,0.023973591,21.24494428,0.620117953,0.142145671,0.153320973,2956.686864,1.076811316,14.49843876
868.5113738,3.59E-05,3.955687522,1.06E-07,0.001833778,0.000913751,1.16E-18,0.015102678,0.008397322,0.019802678,2.36E-12,3.68E-06,0.028742201,0.028726193,26.47497406,0.686840402,0.158364357,0.172408086,3304.635526,1.077649464,15.73283578
1048.113134,3.59E-05,3.862686613,9.80E-08,0.002001702,0.000997713,4.48E-20,0.014766839,0.008733161,0.019466839,1.01E-13,3.87E-06,0.034961672,0.034945664,33.69166765,0.767402185,0.178151784,0.196199554,3731.438857,1.079640045,17.16196968
1102.040816,3.59E-05,3.836508271,9.60E-08,0.00204737,0.001020547,9.92E-21,0.014675504,0.008824496,0.019375504,2.35E-14,3.91E-06,0.036793167,0.036777159,35.89112127,0.789917489,0.183721645,0.20299986,3852.016254,1.080342781,17.55064046
