M + R -> Pn; 16000
M + Pn -> Pn; 16000
2 R -> 2 D; 2.5e+09
Pn + R -> D + PnD; 1e+08
2 Pn -> 2 PnD; 1e+07
2 Pn -> PnDPn; 1e+08
CuI + RX -> CuII + R; 300
CuII + R -> CuI + RX; 1e+08
CuI + PnX -> CuII + Pn; 300
CuII + Pn -> CuI + PnX; 1e+08
CuIsour -> CuI + CuIsour; 1.4e-08
D:,dy_0/dt = 100000000.0*y_2*y_5 + 5000000000.0*y_5**2
M:,dy_1/dt = -16000*y_1*y_2 - 16000*y_1*y_5
Pn:,dy_2/dt = 16000*y_1*y_5 - 220000000.0*y_2**2 - 100000000.0*y_2*y_5 - 100000000.0*y_2*y_7 + 300*y_6*y_8
PnD:,dy_3/dt = 20000000.0*y_2**2 + 100000000.0*y_2*y_5
PnDPn:,dy_4/dt = 100000000.0*y_2**2
R:,dy_5/dt = -16000*y_1*y_5 - 100000000.0*y_2*y_5 - 5000000000.0*y_5**2 - 100000000.0*y_5*y_7 + 300*y_6*y_9
CuI:,dy_6/dt = 1.4e-8*y_10 + 100000000.0*y_2*y_7 + 100000000.0*y_5*y_7 - 300*y_6*y_8 - 300*y_6*y_9
CuII:,dy_7/dt = -100000000.0*y_2*y_7 - 100000000.0*y_5*y_7 + 300*y_6*y_8 + 300*y_6*y_9
PnX:,dy_8/dt = 100000000.0*y_2*y_7 - 300*y_6*y_8
RX:,dy_9/dt = 100000000.0*y_5*y_7 - 300*y_6*y_9
CuIsour:,dy_10/dt = 0
M1_Pn:,dy_11/dt = 16000*y_1*y_2 + 16000*y_1*y_5 - 220000000.0*y_11*y_2 - 100000000.0*y_11*y_5 - 100000000.0*y_11*y_7 + 300*y_15*y_6
M1_PnD:,dy_12/dt = 20000000.0*y_11*y_2 + 100000000.0*y_11*y_5
M1_PnDPn:,dy_13/dt = 200000000.0*y_11*y_2
M2_total:,dy_14/dt = 32000*y_1*y_11 + 16000*y_1*y_2 + 16000*y_1*y_5 + 200000000.0*y_11**2
M1_PnX:,dy_15/dt = 100000000.0*y_11*y_7 - 300*y_15*y_6
time (s),D,M,Pn,PnD,PnDPn,R,CuI,CuII,PnX,RX,CuIsour,M1_Pn,M1_PnD,M1_PnDPn,M2_total,M1_PnX,conversion,ln([M]0/[M]),Mn,Mw/Mn,Tmol% (%)
409.49150623804235,5.9457258493362285e-08,5.484633946160821,5.851840796787553e-10,3.0900330164660455e-09,4.34267142407188e-09,2.638140501554459e-10,5.6607994548446e-06,0.0005500720816324879,0.00532236751905976,0.022177560399307752,1.0,1.8288148274590315e-09,9.01905249599218e-09,2.5422460009119854e-08,0.07305205332867898,0.015366017568852452,0.0027938279707597565,0.0027977379924416066,248.54758290381525,1.6466952802962103,0.0002590277613017167
494.1713361323833,9.348056006772806e-08,5.477692571746101,7.322998609302175e-10,5.370784338490684e-09,8.02233098861509e-09,2.8784273960407586e-10,6.802482556868974e-06,0.000550115916148984,0.00737852866338736,0.020121355420463654,1.0,2.452784838093318e-09,1.641092289272203e-08,4.928683059223898e-08,0.11163536317532696,0.022307360103360697,0.00405589604616339,0.004064143500631117,260.2744950252976,1.6552872885276046,0.0004178036595761779
596.3623316594643,1.4063942353348419e-07,5.46764734476042,9.242483152394925e-10,9.275214369833255e-09,1.504270341020839e-08,3.005045591982227e-10,8.16784784563363e-06,0.0005501812247975982,0.01002376242561228,0.01747605634959012,1.0,3.388312893816484e-09,3.0125603387404194e-08,9.865131467329132e-08,0.1736234661664101,0.032352523074351325,0.005882300952650965,0.005899669831039731,277.86303759492705,1.6627249782940785,0.0006545456171772155
719.6856730011514,1.9973562846408375e-07,5.453131487381463,1.1749004787956745e-09,1.586338182289311e-08,2.865168862732103e-08,2.945212577361552e-10,9.80122761273686e-06,0.0005502743718092785,0.01324836346820437,0.014251362159986352,1.0,4.834237029574613e-09,5.579531476467079e-08,2.0485636065158552e-07,0.2760538304908936,0.04686824713262583,0.008521547748824883,0.00855806373330129,304.5580947233944,1.6649268889323798,0.0009923723183331596
734.6938775510204,2.0672410045632639e-07,5.451188268432934,1.2066285150905662e-09,1.681350085533148e-08,3.077978186666588e-08,2.924275083316555e-10,9.999118064644672e-06,0.0005502865962210687,0.013632613292209403,0.013867100111569528,1.0,5.0367585606735935e-09,5.973308012463928e-08,2.2249651814496115e-07,0.2909192263994439,0.04881144430071043,0.008874860284921127,0.008914476423430469,308.24514993571967,1.664579974664093,0.0010367169637999624
868.511373751352,2.64046691870602e-07,5.432188384159905,1.4984281963069089e-09,2.6762950381164595e-08,5.531130465492064e-08,2.6363219657488127e-10,1.17559649205624e-05,0.0005504031943119549,0.01688816829649786,0.01061142850919018,1.0,7.127545579194268e-09,1.042154086294052e-07,4.42233726797184e-07,0.45061338095034315,0.06781106226341432,0.01232938469819913,0.01240602214157412,345.6782888421521,1.6549336828496017,0.0014597536420422102
1048.1131341546852,3.2165112471238825e-07,5.402034560418591,1.904180403080251e-09,4.438707663133515e-08,1.0750584141176396e-07,2.070800596209631e-10,1.4090422733532238e-05,0.0005505831611446305,0.020568409142804594,0.006931007696050772,1.0,1.0835543410731871e-08,1.9639282500932467e-07,9.897911844254206e-07,0.7574990367934618,0.09796424256185647,0.01781189810571071,0.01797243918047137,410.0356800912825,1.623454987897163,0.0021129086696990954
1102.0408163265306,3.343087478097348e-07,5.391961064151959,2.0264400027528673e-09,5.065023835868035e-08,1.2834308272834037e-07,1.886007564915777e-10,1.4784711236184005e-05,0.0005506438601923847,0.021489672322559654,0.006009683817247959,1.0,1.2172674846629213e-08,2.3302637188274828e-07,1.233604158879906e-06,0.8746320072696546,0.10803745704483635,0.019643442881462067,0.019838939694558123,432.8122597673082,1.6102682216443882,0.00233325509681853
1264.8552168552958,3.6143841315771616e-07,5.358770692145682,2.389629605129585e-09,7.234740001114551e-08,2.0797342401867362e-07,1.3471213286685497e-10,1.6855716033027108e-05,0.0005508522570029439,0.023747495793756863,0.003751651949240186,1.0,1.6893306304194426e-08,3.7496665322452044e-07,2.2773417057198698e-06,1.312340965369949,0.14122663865265248,0.02567805597351238,0.026013491940382612,511.98183068039594,1.5624999566212436,0.0030899369498407596
1469.3877551020407,3.786818938446372e-07,5.31138179912276,2.822731854262762e-09,1.0584077564371254e-07,3.4749024514038294e-07,7.92246211755877e-11,1.9389023455183596e-05,0.000551182405116244,0.0255906166374657,0.0019082009574180536,1.0,2.437860738716279e-08,6.38209053801489e-07,4.474634002651142e-06,2.0749842593848014,0.18861306365557762,0.034294218341316386,0.03489606501394928,634.5236499461553,1.4925747920032801,0.00428910239916042
